inf_id,inst_id,Department,Year,objective
1,1,Mekelle Accounting and Finance,3,"The program plans to meet the Universitys mission of instilling into present and future leaders knowledge of current and future accounting, auditing and finance practices and relevant skills through student-centered high quality, viable programs which are fully recognized internationally and by both the private and public institutions in Ethiopia."
2,1,Mekelle Marketing,3,"Department of Marketing Management is one of the most dynamic and innovative departments in the college of Business and Economics, Mekelle University. The Department of Marketing Management intends to create a platform for the vibrant youth of Ethiopian who are planning to become practicing marketers in the arena of business. We do always believe on crafting and molding the students with required stamina and courage to become capable marketing practitioners in the local as well as in the global context."
3,1,Mekelle Cooperatives Studies,3,"The overall objective of the department is to produce professionals in the field of cooperation to help develop cooperative enterprises and people-centered organizations with self-reliance and good governance. The expertise is aiming at developing values, economic opportunities and ways of controlling own resources for the improvement of living standard of the poor in particular and to reach the middle class income of the nation at large. "
4,1,Mekelle Management,3,"The Department of Management is among the five Departments under the faculty of Business and Economics. Besides teaching, the department has been involving actively in various research, short-term trainings and consultancy activities in the areas of Management. The teaching, research, and consultancy activities have strengthened the staff’s capacity and enabled the staff to run graduate level teaching."
5,1,Mekelle Economics,3,"The department of economics, which is one of the departments of college of business and economics is known for its commendable international linkages, research and community services. The department has an academic staff of 49 [24 on duty + 25 study leave] out of which 8 are PhD holders."
7,2,Mekelle School of Computing,4,"Computer science is the field of computing that is leading the development of new knowledge in such areas as bioinformatics, intelligent systems, and computer vision and image processing. Computer science is broad field of study spanning theory through to software development. Ethiopia has underscored the use of ICT for development after having taken lessons from other countries. In line with this, the need for research, use and development of software is in demand at both national and regional level. Therefore, the program in computer science will provide the trained manpower that can satisfy the aforementioned professional needs."
8,2,Mekelle Chemical Engineering,5,"Chemical Engineering is extremely broad and dynamic field of study with constantly emerging technologies which profoundly affect our lives. Hence, the program, aims at addressing the economical, industrial, medical, technological and other needs and demands of the society. The department of Chemical engineering is the nucleus of research and development in the areas of chemical process industries. "
9,2,Mekelle School of Mechanical and industrial Engineering,5,"Mechanical Engineering is the branch of engineering concerned with the design, manufacturing, installation, and operation of engines and machinery. It is a broad specialization that has to do with all areas of life. Mechanical engineering is used, for example, in the space industry, aviation, in production, energy conversion, the mechanics of the buildings, transportation, and in the modeling and simulation information."
10,2,Mekelle School of Electrical and Computer Engineering,5,"The curriculum of the department has been thoroughly revised with structural modifications and inclusion of new additional theory papers and practical work component according to ECPB guidelines from academic year 2007/2008.  Bachelor’s degree in Electrical and Computer Engineering with four focus streams - Communication, Power Electronics, Computer Engineering and Industrial Control Engineering is offered now."
11,2,Mekelle School of Civil Engineering,5,"The school of civil engineering at Mekelle University has established in the year 1996 G.C. at department level with the objective of training middle level professionals [diploma level and B.sc degree]. It also undertakes research activities, trainings and consultancy service for public and private sectors besides contributes to the advancement of college of engineering through research."
12,2,Mekelle school of Architecture and Urban Planning,5,"Urban planning is an interdisciplinary field of study, reflected in the academic backgrounds of our faculty who have expertise in economics, urban design, urban revitalization, transportation, sustainability, and the intersections between these areas of study."
13,3,Mekelle Information Technology,4,Mekelle University ICT Directorate has established a university wide ICT Infrastructure and built capacity to serve the University core processes and outreach the external community with required ICT consultancy services and other research/development requirements.
14,3,Mekelle Biological and Chemical Engineering,5,"Chemical and biological engineering addresses a range of problems in human health, energy, materials science, and industrial processes."
15,3,Mekelle Computer Science and Engineering,5,"Computer science is the field of computing that is leading the development of new knowledge in such areas as bioinformatics, intelligent systems, and computer vision and image processing. Computer science is broad field of study spanning theory through to software development"
16,3,Mekelle Electrical and Electronics Engineering,5,"Bachelor’s degree in Electrical and Computer Engineering with four focus streams - Communication, Power Electronics, Computer Engineering and Industrial Control Engineering is offered now.  The staff of the department is highly motivated towards academic and research achievements. "
17,3,Mekelle Electronics and Communication Engineering,5,"Electronic engineering (also called electronics and communications engineering) is an electrical engineering discipline which utilizes nonlinear and active electrical components (such as semiconductor devices, especially transistors and diodes) to design electronic circuits, devices, integrated circuits and their systems."
18,4,AAU School of Electrical and Computer Engineering,5,"Starting from the earliest historical backgrounds, it can be said that in 46 years the Electrical Engineering (EE) programs of study of Institute of Technology (AAiT), AAU has grown and expanded from basic power and electronics engineering into five streams: Electronic Communication Engineering, Power Engineering, Industrial Control Engineering, Computer Engineering,  Microelectronics Engineering."
