inst_id,uv_id,inst_name,Phone,email,inst_description
1,1,Business and Economics Accounting(CBE),034 441 0964,ia.director@mu.edu.et ,"The College of Business and Economics (CBE hereafter) is one of the pioneer colleges of the Mekelle University. To briefly describe CBE in perspective, CBE is the brainchild of the School of Economics. The School of Economics was established in 1987 in the librated area of Tigray during the struggle with the military regime. Following the downfall of the military junta in 1991, the school of economics was upgraded to the college level wherein the then school of economics was named by Mekelle Business College. Then, the college started its operation by enrolling 150 students in its different diploma programs with 16 academic and 20 support staff members."
2,1,Ethiopian Institute of Technology- Mekelle (EiT-M),034 441 0964,ia.director@mu.edu.et ,"The College of Business and Economics (CBE hereafter) is one of the pioneer colleges of the Mekelle University. To briefly describe CBE in perspective, CBE is the brainchild of the School of Economics. The School of Economics was established in 1987 in the librated area of Tigray during the struggle with the military regime. Following the downfall of the military junta in 1991, the school of economics was upgraded to the college level wherein the then school of economics was named by Mekelle Business College. Then, the college started its operation by enrolling 150 students in its different diploma programs with 16 academic and 20 support staff members."
3,1,Mekelle Institute of Technology(MIT),034 441 0964,ia.director@mu.edu.et ,"The College of Business and Economics (CBE hereafter) is one of the pioneer colleges of the Mekelle University. To briefly describe CBE in perspective, CBE is the brainchild of the School of Economics. The School of Economics was established in 1987 in the librated area of Tigray during the struggle with the military regime. Following the downfall of the military junta in 1991, the school of economics was upgraded to the college level wherein the then school of economics was named by Mekelle Business College. Then, the college started its operation by enrolling 150 students in its different diploma programs with 16 academic and 20 support staff members."
4,2,Addis Ababa Institute Of Technology(AAiT),011 123 9706,aau.press@aau.edu.et,"The Addis Ababa Institute of Technology (AAiT), which was established about 60 years ago, is the leading Institute of Technology in Ethiopia.At present, it is functioning with special autonomy from Addis Ababa University. It has a Supervisory Board, which is the highest governing body. The Institute is led by a Scientific Director with the rank of University Vice President. Currently, there are over 5500 undergraduate and 4500 graduate (M.Sc. and PhD) students enrolled in the various programs of the Institute. The Institute has 400 members of academic staff and about 600 administrative and support staff."
5,2,College Of Health Science(CHS),011 123 9706,aau.press@aau.edu.et,"The College of Health Sciences (CHS), Addis Ababa University (AAU), is a professional health sciences college, established in 2009/10 by the reorganization of previously separate institutions of health under one umbrella. The CHS is comprised of four schools and one teaching hospital. The four schools are the School of Medicine (SoM), the School of Pharmacy (SoP), the School of Public Health (SPH) and the School of Allied Health Sciences (SAHS). The SAHS offers professional training in nursing, midwifery and medical laboratory technology. The rationale behind the establishment of the CHS is to encourage cross-breeding across various disciplinary paradigms; standardize curricula across disciplines; set standards and quality checks for the teaching-learning process; maximize human resources utilization through joint planning in teaching common courses and in conducting research; create opportunities in collaborative research and publication; maximize shared use of facilities for effectiveness and efficiency in teaching-learning, research and services; and create opportunities to address the health needs of the community in an integrated manner as a health team."
6,2,College of Social Sciences,011 123 9706,aau.press@aau.edu.et,"The College of Health Sciences (CHS), Addis Ababa University (AAU), is a professional health sciences college, established in 2009/10 by the reorganization of previously separate institutions of health under one umbrella. The CHS is comprised of four schools and one teaching hospital. The four schools are the School of Medicine (SoM), the School of Pharmacy (SoP), the School of Public Health (SPH) and the School of Allied Health Sciences (SAHS). The SAHS offers professional training in nursing, midwifery and medical laboratory technology. The rationale behind the establishment of the CHS is to encourage cross-breeding across various disciplinary paradigms; standardize curricula across disciplines; set standards and quality checks for the teaching-learning process; maximize human resources utilization through joint planning in teaching common courses and in conducting research; create opportunities in collaborative research and publication; maximize shared use of facilities for effectiveness and efficiency in teaching-learning, research and services; and create opportunities to address the health needs of the community in an integrated manner as a health team."
7,2,College of Natural sciences,011 123 9706,aau.press@aau.edu.et,"The College of Health Sciences (CHS), Addis Ababa University (AAU), is a professional health sciences college, established in 2009/10 by the reorganization of previously separate institutions of health under one umbrella. The CHS is comprised of four schools and one teaching hospital. The four schools are the School of Medicine (SoM), the School of Pharmacy (SoP), the School of Public Health (SPH) and the School of Allied Health Sciences (SAHS). The SAHS offers professional training in nursing, midwifery and medical laboratory technology. The rationale behind the establishment of the CHS is to encourage cross-breeding across various disciplinary paradigms; standardize curricula across disciplines; set standards and quality checks for the teaching-learning process; maximize human resources utilization through joint planning in teaching common courses and in conducting research; create opportunities in collaborative research and publication; maximize shared use of facilities for effectiveness and efficiency in teaching-learning, research and services; and create opportunities to address the health needs of the community in an integrated manner as a health team."
8,3,Institute of Health Sciences,047 111 2202,ero@ju.edu.et,"The College of Health Sciences (CHS), Addis Ababa University (AAU), is a professional health sciences college, established in 2009/10 by the reorganization of previously separate institutions of health under one umbrella. The CHS is comprised of four schools and one teaching hospital. The four schools are the School of Medicine (SoM), the School of Pharmacy (SoP), the School of Public Health (SPH) and the School of Allied Health Sciences (SAHS). The SAHS offers professional training in nursing, midwifery and medical laboratory technology. The rationale behind the establishment of the CHS is to encourage cross-breeding across various disciplinary paradigms; standardize curricula across disciplines; set standards and quality checks for the teaching-learning process; maximize human resources utilization through joint planning in teaching common courses and in conducting research; create opportunities in collaborative research and publication; maximize shared use of facilities for effectiveness and efficiency in teaching-learning, research and services; and create opportunities to address the health needs of the community in an integrated manner as a health team."
9,3,Jimma Institute of Technology,047 111 2202,ero@ju.edu.et,"The College of Health Sciences (CHS), Addis Ababa University (AAU), is a professional health sciences college, established in 2009/10 by the reorganization of previously separate institutions of health under one umbrella. The CHS is comprised of four schools and one teaching hospital. The four schools are the School of Medicine (SoM), the School of Pharmacy (SoP), the School of Public Health (SPH) and the School of Allied Health Sciences (SAHS). The SAHS offers professional training in nursing, midwifery and medical laboratory technology. The rationale behind the establishment of the CHS is to encourage cross-breeding across various disciplinary paradigms; standardize curricula across disciplines; set standards and quality checks for the teaching-learning process; maximize human resources utilization through joint planning in teaching common courses and in conducting research; create opportunities in collaborative research and publication; maximize shared use of facilities for effectiveness and efficiency in teaching-learning, research and services; and create opportunities to address the health needs of the community in an integrated manner as a health team."
10,3,College of Business and Economics,047 111 2202,ero@ju.edu.et,"Arba Minch University (AMU) is a leading institution of technology in Ethiopia and an emerging regional and global hub of innovative research and teaching activity. JIT prepares the next generation of problem solvers and technological practitioners and professionals through advanced study which is widely considered to be among the best in Ethiopia. JIT offers programs in Engineering, Architecture and Urban Design, Biomedical Engineering and Our departments are at the intersection of inquiry and discovery, and through rigorous hands on and class room training our students are being prepared for leadership positions addressing complex, real world problems.  JIT classrooms are dynamic and innovative settings which focus on project based learning, teamwork and innovation to create solutions to real world problems. At JIT, we believe that the future depends on innovation and creativity, and at JIT we strive to make our students capable of thinking outside of the box when it comes to solving complex issues. JIT promotes crosscutting initiatives with other disciplines. In departments such as Biomedical Engineering, students are able to apply a multidisciplinary understanding engineering and health science to directly benefit the health and well being of individuals and the society at large. This is evident in our numerous collaborations with the Jimma Institute of Health Sciences."
